         52669681 function calls (51841661 primitive calls) in 3601.814 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   198906    1.072    0.000    2.041    0.000 base.py:690(_simple_new)
     1776    0.070    0.000    2.038    0.001 managers.py:1394(insert)
     7770    0.163    0.000    2.014    0.000 generic.py:1144(rename_axis)
   159987    0.662    0.000    2.008    0.000 {built-in method builtins.any}
     8298    0.086    0.000    1.983    0.000 _mixins.py:214(_concat_same_type)
    30094    0.482    0.000    1.887    0.000 construction.py:493(sanitize_array)
      888    0.031    0.000    1.831    0.002 frame.py:7585(_arith_method)
     9104    0.032    0.000    1.825    0.000 construction.py:739(_get_axes)
      444    0.014    0.000    1.758    0.004 indexing.py:1244(_getitem_tuple)
      703    0.024    0.000    1.758    0.003 indexing.py:931(_getitem_lowerdim)
     2220    0.012    0.000    1.720    0.001 arraylike.py:124(__truediv__)
190005/182969    0.350    0.000    1.692    0.000 {built-in method builtins.all}
   268044    0.628    0.000    1.643    0.000 common.py:1751(pandas_dtype)
    58226    0.146    0.000    1.616    0.000 config.py:262(__call__)
     7770    0.070    0.000    1.602    0.000 generic.py:1323(_set_axis_name)
    80656    0.957    0.000    1.599    0.000 warnings.py:181(_add_filter)
     2306    0.074    0.000    1.594    0.001 base.py:3888(get_indexer)
      444    0.013    0.000    1.592    0.004 data_storage.py:122(update_horizon)
     2220    0.037    0.000    1.576    0.001 indexing.py:2488(convert_to_index_sliceable)
    53724    1.567    0.000    1.568    0.000 utils.py:24(timestamps_before)
     1776    0.068    0.000    1.512    0.001 base.py:6844(insert)
       91    0.002    0.000    1.508    0.017 predictor.py:109(get_reduced_measurements_in_current_prediction_horizon)
    32892    0.226    0.000    1.501    0.000 datetimes.py:2215(maybe_convert_dtype)
       91    0.004    0.000    1.487    0.016 data_storage.py:177(get_reduced_measurements)
   299977    1.244    0.000    1.477    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    58317    0.240    0.000    1.471    0.000 config.py:134(_get_option)
     3518    0.011    0.000    1.465    0.000 <__array_function__ internals>:177(apply_along_axis)
     5971    0.049    0.000    1.446    0.000 series.py:3194(_construct_result)
     3518    0.138    0.000    1.440    0.000 shape_base.py:267(apply_along_axis)
      444    0.027    0.000    1.433    0.003 extension.py:156(map)
      571    0.010    0.000    1.431    0.003 datetimes.py:771(slice_indexer)
      572    0.009    0.000    1.419    0.002 base.py:6509(slice_indexer)
     1862    0.012    0.000    1.410    0.001 base.py:6032(get_indexer_for)
      572    0.014    0.000    1.409    0.002 base.py:6710(slice_locs)
     3518    0.014    0.000    1.408    0.000 arraylike.py:40(__eq__)
     3518    0.066    0.000    1.394    0.000 series.py:6233(_cmp_method)
      668    0.015    0.000    1.394    0.002 base.py:6641(get_slice_bound)
1816209/1372687    0.954    0.000    1.358    0.000 {built-in method builtins.len}
    70126    0.815    0.000    1.347    0.000 generic.py:5844(__finalize__)
     8298    0.039    0.000    1.337    0.000 concat.py:638(_get_comb_axis)
    62803    0.335    0.000    1.313    0.000 common.py:77(get_op_result_name)
    90170    0.609    0.000    1.299    0.000 base.py:588(_dtype_to_subclass)
      128    0.004    0.000    1.281    0.010 indexing.py:1314(_get_slice_axis)
     8298    0.041    0.000    1.280    0.000 api.py:78(get_objs_combined_axis)
    81258    0.669    0.000    1.257    0.000 datetimes.py:681(_assert_tzawareness_compat)
     1776    0.008    0.000    1.253    0.001 datetimelike.py:234(_get_string_slice)
    31198    0.287    0.000    1.247    0.000 base.py:5464(equals)
     1776    0.017    0.000    1.244    0.001 datetimelike.py:223(_parse_with_reso)
      888    0.035    0.000    1.234    0.001 __init__.py:207(align_method_FRAME)
    72497    0.226    0.000    1.218    0.000 __init__.py:225(compile)
     1776    0.165    0.000    1.209    0.001 {pandas._libs.tslibs.parsing.parse_time_string}
    25815    0.136    0.000    1.199    0.000 base.py:5304(__getitem__)
     7805    0.052    0.000    1.190    0.000 predictor.py:30(in_prediction_horizon)
     8298    0.090    0.000    1.178    0.000 api.py:122(_get_combined_index)
     3026    0.016    0.000    1.172    0.000 arrayprint.py:1571(_array_str_implementation)
     3026    0.036    0.000    1.155    0.000 arrayprint.py:561(array2string)
     8814    0.132    0.000    1.155    0.000 generic.py:6258(copy)
     2453    0.016    0.000    1.134    0.000 generic.py:2109(__array_ufunc__)
    24682    0.264    0.000    1.127    0.000 common.py:235(asarray_tuplesafe)
    29883    0.157    0.000    1.123    0.000 managers.py:1934(from_array)
    26099    0.147    0.000    1.122    0.000 datetimelike.py:347(__getitem__)
     2453    0.043    0.000    1.118    0.000 arraylike.py:244(array_ufunc)
    60173    1.080    0.000    1.113    0.000 array_ops.py:445(maybe_prepare_scalar_for_op)
     3026    0.035    0.000    1.056    0.000 arrayprint.py:506(wrapper)
    86984    0.205    0.000    1.044    0.000 base.py:286(is_dtype)
    40501    0.349    0.000    1.034    0.000 blocks.py:2172(new_block)
   141086    0.975    0.000    1.024    0.000 _ufunc_config.py:132(geterr)
     2501    0.013    0.000    1.021    0.000 <__array_function__ internals>:177(ndim)
     3026    0.046    0.000    1.010    0.000 arrayprint.py:523(_array2string)
     3156    0.030    0.000    1.009    0.000 indexing.py:1592(_getitem_axis)
    74773    0.575    0.000    1.000    0.000 __init__.py:272(_compile)
       96    0.010    0.000    0.997    0.010 model_manager.py:82(synchronize_models)
     2501    0.013    0.000    0.996    0.000 fromnumeric.py:3152(ndim)
     9715    0.120    0.000    0.995    0.000 concat.py:635(_is_uniform_join_units)
     1862    0.032    0.000    0.993    0.001 base.py:4318(reindex)
   110112    0.128    0.000    0.981    0.000 base.py:938(<genexpr>)
    12924    0.106    0.000    0.947    0.000 iostream.py:259(schedule)
   103252    0.523    0.000    0.945    0.000 {built-in method numpy.array}
     2453    0.007    0.000    0.938    0.000 arraylike.py:112(__rsub__)
     7771    0.054    0.000    0.936    0.000 generic.py:6422(infer_objects)
     2453    0.012    0.000    0.930    0.000 series.py:6257(_arith_method)
   215532    0.488    0.000    0.927    0.000 common.py:1591(_is_dtype_type)
